Nombre,Ingredientes,Pasos,Duracion,Categoria
pancitos saborizados de salame,"['500 gramos de harina 000', '25 gramos de manteca', '250 mililitros de leche', '1 cucharada postre de sal', '100 gramos de salame', '25 gramos de levadura fresca', '1 cucharada postre de azúcar']","['1 El primer paso para hacer el pan de salame es desgranar la levadura y disponerla en un recipiente con la leche tibia. Resérvala mientras continúas con el resto de los pasos, así se formará la esponja. Esto hará que puedas comprobar si la levadura está en óptimas condiciones para ser utilizada.', '2 Mezcla la harina con la sal y luego llévala a la mesada limpia formando un volcán. En el centro, agrega la manteca blanda.', '3 Agrega también la leche tibia con la levadura y poco a poco integra los ingredientes del centro hacia afuera para formar la masa de tus pancitos saborizados de salame. Amasa unos 5 minutos para desarrollar un buen gluten y que queden bien esponjosos.', '4 Cuando tengas tu masa lista, llévala a un recipiente limpio y enharinado y tápala. Déjala reposar en un lugar cálido, sin corrientes de aire, por unos 30 a 60 minutos. Truco: deberá duplicar el volumen y el tiempo depende de qué tan húmedo o frío sea el clima donde te encuentras.', '5 Cuando tu masa esté casi lista, corta el salame en pequeños trozos. Puedes utilizar salame en fetas, que compras en la fiambrería o bien salame picado fino o grueso. En ese caso, deberás pelarlo antes de picarlo.', '6 Cuando la masa haya duplicado su volumen, retira el gas aplastándola suavemente con tus manos. Agrega el salame y vuelve a amasar suavemente, para no romper el gluten que formaste durante el primer amasado. Aquí solo buscamos integrar el salame en la masa.', '7 Divídela en pequeños bollitos y proporciona la forma que desees. Ubícalos en una asadera o recipiente apto para horno previamente engrasado con aceite o manteca. Salen unos 20 panes saborizados de salame del tamaño de una pelota de tenis. Enciende el horno y reserva hasta que llegue a los 200-220 ºC. Deja los pancitos tapados sobre él para que hagan un segundo leudado.', '8 Cocina tus pancitos saborizados de salame por unos 15 minutos o hasta que estén ligeramente dorados por encima, como ves en la imagen. Ya puedes servir y disfrutar de estos pancitos. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",2h 30m,['Recetas al horno']
pan torpedo,"['400 gramos de harina', '100 gramos de azúcar                                                                    (½ taza)', '60 gramos de manteca', '1 huevo', '120 mililitros de leche                                                                    (½ taza)', '1 cucharadita de esencia de vainilla', '3 gotas de agua de azhar', '15 gramos de levadura fresca', '1 pizca de sal', '30 gramos de manteca', '1 cucharada sopera de harina']","['1 El primer paso para hacer el pan torpedo es mezclar la levadura fresca con una cucharada de azúcar y la leche tibia en un recipiente. Resérvala en un lugar sin corriente de aire hasta que se forme una espuma. Puedes obviar este paso si lo deseas, es simplemente para asegurarte que la levadura funciona correctamente.', '2 Por otro lado, crema la manteca con el azúcar y los condimentos. Para ello, deberás disponer de la manteca blanda, a temperatura ambiente, en un recipiente junto con el azúcar, la esencia de vainilla y el agua de azahar. Mezcla con una cuchara o espátula hasta que quede una crema homogénea. Truco: si lo deseas, puedes agregar otros sabores como una cucharada de miel o malta, ralladura de limón o naranja.', '3 A continuación, añade el huevo y la levadura con la leche. Remueve hasta que obtengas una mezcla homogénea. Si al agregarlo da la sensación de cortado, es una cuestión de contraste de temperaturas. Para solucionarlo, mezcla la preparación al baño María o caliéntala 10 segundos en el microondas, revolviendo cada vez. Verás que se soluciona fácilmente.', '4 Por último, añade la harina previamente tamizada junto con la pizca de sal. Integra y amasa hasta obtener un bollo liso.', '5 Reserva la masa del pan torpedo en un recipiente enharinado y tapado hasta que duplique su volumen. Conviene buscar un lugar cálido sin corriente de aire.', '6 Mientras, mezcla la manteca del empaste con la harina y disponla entre dos separadores. Estírala fina y proporciona forma rectangular. Guárdala en la heladera mientras leuda la masa para que esté bien fría y maleable.', '7 Cuando la masa haya leudado, estírala de forma rectangular y dispón el empaste en una de sus mitades. Dóblala por la mitad como un libro, estírala cuidadosamente y dóblala nuevamente, pero esta vez en tercios, es decir, doblando las dos puntas de la masa hacia el centro. Llévala a la heladera tapada por al menos unos 30 minutos.', '8 Pasado el tiempo, retira la masa de la heladera, estírala y dóblala por la mitad nuevamente y refrigerándola otros 30 minutos. Repite una vez mas y, luego, estira la masa de forma rectangular. Siempre sé muy cuidadoso con la masa ya que es frágil y, si se rompe, se saldrá el empaste y te resultará difícil continuar maniobrando.', '9 Corta la masa de tu pan torpedo en rectángulos de unos 4 dedos de ancho. Asegúrate de usar un cuchillo sin serrucho y de no arrastrar las capas de hojaldre que cuidadosamente creaste en los pasos anteriores.', '10 Enrolla cada rectángulo y disponlo en una asadera previamente engrasada. Enciende el horno para que se precaliente a 200 ºC. Cocina el pan torpedo en el horno precalentado por unos 20 minutos o hasta que estén ligeramente dorados.', '11 Cuando estén fríos, sirve y disfruta del pan torpedo. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",2h 30m,['Recetas al horno']
bizcochuelo de nuez,"['2 huevos', '100 gramos de azúcar                                                                    (½ taza)', 'ralladura de piel de naranja (o limón)', '100 centímetros cúbicos de aceite neutro (girasol o soja)', '100 centímetros cúbicos de leche', '200 gramos de harina 0000', '1 cucharada postre de polvo para hornear', '¼ cucharadita de bicarbonato de sodio', '1 cucharadita de esencia de vainilla', '50 gramos de nueces picadas', '50 gramos de chocolate (picado o chips)']","['1 Precalienta el horno a 180 °C. También enmanteca y enharina un molde de 20 cm de diámetro.', '2 Coloca en un bol, los huevos, el azúcar, la ralladura de limón y la esencia de vainilla. Bate con la batidora eléctrica hasta que notes que comienzan a formarse burbujas, la mezcla se pone un poco más espesa y toma una coloración más clara.', '3 Incorpora el aceite y bate unos minutos más.', '4 Posteriormente, agrega la leche y la harina en tres veces, tamizada junto con el polvo para hornear y el bicarbonato de sodio. Integra todos los ingredientes con una espátula, realizando movimientos envolventes del centro hacia afuera y girando el bol. Truco: trata de no batir, ni realizar movimientos enérgicos, ni golpear el bol para no bajar el aire de la mezcla y asegurarnos que el bizcocho de nuez esponjoso resulta ideal.', '5 Por último, añade las nueces picadas y el chocolate e integra también con mucha suavidad.', '6 Vierte la masa en el molde y lleva al horno precalentado a 180 °C por aproximadamente 30 minutos, hasta que, al pincharlo con un palillo, este salgo seco. Truco: es importante que no abras el horno a mitad de la cocción para no crear contrastes o cambios de temperatura, que pueden hacer que el bizcochuelo se deforme. Recuerda que, si es necesario, puedes ir vigilándolo a través del vidrio del horno.', '7 Retira del horno y deja reposar 10 o 15 minutos antes de desmoldar sobre una rejilla, hasta que se enfríe completamente.', '8 Presenta la torta de nuez con aceite en una fuente y,si te gusta, puedes espolvorear con azúcar impalpable. ¡A comer! Cuéntanos en comentarios qué te pareció esta receta o comparte fotos con nosotros.']",1h 30m,"['Receta sin sal', 'Recetas al horno']"
bolas de fraile al horno,"['500 gramos de harina', '25 gramos de levadura fresca', '1 huevo', '40 gramos de azúcar', '50 gramos de manteca pomada', '1 cucharadita de esencia de vainilla', '180 centímetros cúbicos de leche tibia', '300 gramos de dulce de leche repostero']","['1 Para preparar las bolas de fraile fáciles y rápidas, comenzaremos preparando una esponja con la levadura, un par de cucharadas de azúcar y harina de la receta y 1/3 de la leche tibia. Mezcla bien y deja reposar tapado hasta que se active la levadura y espumee.', '2 A continuación, arma una corona con la harina, coloca el azúcar en sus bordes y en el centro, la esponja de levadura, el huevo levemente batido, el resto de la leche, la esencia de vainilla. Integra los ingredientes del centro hacia afuera armando la masa. Truco: puedes proporcionar más sabor a la masa.', '3 Ahora integra la manteca pomada. Al principio parece que vas a necesitar más harina y que no se va a poder integrar, pero no agregues nada, continúa amasando y verás que vuelve a formarse un bollo bien suave y liso.', '4 Coloca el bollo en un recipiente, cúbrelo y deja leudar hasta que duplique su volumen.', '5 Una vez que haya duplicado el volumen, deberás dividir la masa en pequeños bollos, no demasiado grandes, ya que deben leudar nuevamente. Truco: obtendrás aproximadamente 15 bollitos de 60 gramos cada uno.', '6 Colócalos en una asadera engrasada separados entre sí, para que no se peguen cuando aumenten su tamaño. Cubre y deja que leven por segunda vez, hasta duplicar su volumen. Mientras tanto, enciende el horno para precalentarlo a 180 °C.', '7 Antes de hornear las bolas de fraile argentinas, píntalas con una mezcla de leche y azúcar. Luego, cocina en horno a 180 °C hasta que estén doradas (15 / 20 minutos)', '8 Retira y cuando se hayan enfriado, corta por la mitad y rellena con dulce de leche repostero.', '9 Para finalizar, puedes espolvorear las bolitas de fraile al horno con azúcar impalpable y listas para comer. Comparte con nosotros tus fotos y opinión sobre esta receta en los comentarios.']",3h,"['Recomendada para vegetarianos', 'Receta sin sal', 'Recetas al horno']"
tortas fritas con leche,"['240 gramos de harina', '100 centímetros cúbicos de leche', '1 cucharadita de sal', '1 cucharadita de polvo para hornear', '2 cucharadas soperas de aceite', 'aceite para freir', 'azúcar para espolvorear']","['1 Lo primero que debes hacer es entibiar la leche en un recipiente y disolver en ella la sal.', '2 Realiza una corona con la harina sobre la mesada. Coloca en el centro el aceite y la leche tibia.', '3 Integra los ingredientes y amasa hasta obtener un bollo suave y liso que no se pega en los dedos. Cubre con un repasador y deja reposar 20 minutos.', '4 Forma las tortas fritas. Puedes hacer las tradicionales redondas armando bollos pequeños y aplanándolos, o también puedes estirar toda la masa con palote y cortarlas de la forma que prefieras, triangular, rectangular o cuadrada como hicimos en este caso. Pincha con tenedor cada pieza y realiza un corte en el centro.', '5 Calienta el aceite para freír en un recipiente profundo.', '6 Fríe las tortas fritas por unos minutos hasta que doren.', '7 Al retirarlas, déjalas sobre papel absorbente y espolvorea con azúcar.', '8 Ya puedes probar estas deliciosas, suaves y esponjosas tortas fritas con leche. ¡A comer! Cuéntanos qué te pareció esta receta en comentarios.']",45m,"['Recomendada para vegetarianos', 'Recetas argentinas']"
tortas fritas sin grasa,"['2 tazas de harina                                                                    (280 gramos)', '1 taza de agua tibia', '1 cucharadita de polvo para hornear', '2 cucharadas soperas de aceite', '1 cucharadita de sal', 'aceite para freir, cantidad necesaria', 'azúcar para espolvorear']","['1 Coloca la harina y la sal sobre la mesada de trabajo. Realiza un hueco en el centro y vierte allí el aceite y el agua tibia. Toma la masa de las tortas fritas sin grasa integrando los ingredientes del centro hacia afuera. Truco: puedes usar un aceite neutro o aceite de oliva, aportará un delicioso sabor.', '2 Cuando los hayas unido completamente, amasa hasta obtener un bollo liso y homogéneo. Cúbrelo y deja que repose alrededor de 20 minutos.', '3 Transcurrido el tiempo de reposo, divide la masa formando bollos más pequeños. Aplana cada bollito de las tortitas fritas argentinas con un palote, realiza un corte en el centro y pincha con tenedor.', '4 Vierte el aceite para freír en un recipiente profundo y lleva a la hornalla para calentar a temperatura de 170 °C.', '5 Sumerge las tortas fritas de la abuela en aceite. Gíralas para que queden doraditas de ambos lados.', '6 Cuando las retires del fuego, apóyalas en un plato con papel absorbente de modo que quede allí el exceso de aceite. Luego, espolvorea con azúcar (opcional)', '7 Ya están listas las tortas fritas rápidas sin grasa que nadie resistirá. ¡A comer! Cuéntanos qué te pareció esta receta en los comentarios.']",45m,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Recetas argentinas']"
tortas fritas con grasa,"['240 gramos de harina leudante', '2 cucharadas soperas de grasa derretida', '200 centímetros cúbicos de agua tibia', '1 cucharada postre de sal fina', 'aceite o grasa para freir']","['1 Coloca la harina junto con la sal sobre la mesada. Realiza un hueco en el centro, y vierte allí la grasa derretida y el agua tibia. Truco: si no tienes harina leudante, puedes usar harina común e incorporarle 1 cucharada de polvo para hornear.', '2 Comienza a tomar la masa integrando los elementos del centro hacia afuera para formar un bollo.', '3 Cuando esté todo unido, amasa enérgicamente sobre la mesada hasta formar un bollo liso. Colócalo en un recipiente, cúbrelo con un repasador y déjalo reposar 20 minutos.', '4 A continuación, separa la masa en bollos más pequeños.', '5 Con cada uno de ellos, arma las tortas fritas aplanando con la palma de mano. Con la ayuda de un cuchillo, realiza un corte en el centro.', '6 En un recipiente profundo, calienta el aceite o grasa para freír hasta 160 °C y comienza a cocinar las tortas fritas argentinas. Deberás rotarlas para que se doren de ambos lados.', '7 Una vez hechas las tortas fritas sin levadura, retíralas y colócalas sobre papel absorbente. Espolvorearlas con azúcar. Truco: si las prefieres saladas, puedes ponerles unos granos de sal gruesa al retirarlas de la fritura.', '8 Las tortas fritas esponjosas con grasa ya están listas. ¡Prepara el mate y listo para comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",45m,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Recetas argentinas']"
budin con harina integral esponjoso,"['1 huevo', '1 taza de harina integral                                                                    (150 gramos)', '½ taza de leche                                                                    (120 mililitros)', '½ taza de azúcar mascabo', '½ taza de aceite neutro', '1 pizca de sal', '1 cucharada postre de polvo para hornear']","['1 Bate el huevo a temperatura ambiente por unos 5 minutos mientras añades el azúcar en forma de lluvia y la pizca de sal. También agrega el aceite en forma de hilo. Debe quedar una preparación esponjosa y blanquecina, a pesar del color del azúcar. Truco: este es el momento para saborizar tu budín. Puedes elegir usar una cucharada de esencia de vainilla, ralladura de limón, naranja o esencia de alguno de estos cítricos o coco.', '2 Añade la mitad de la harina integral, pasándola previamente por un tamiz para deshacer los grumos. Asegúrate de agregar a la preparación el salvado que queda en él. También agrega el polvo para hornear y la mitad de la leche a temperatura ambiente. Integra con movimientos envolventes para no bajar el batido.', '3 Añade la mitad de leche y harina restante. Vuelve a integrar con movimientos envolventes y corrobora la consistencia de tu budín. Debe quedar un tanto más espeso que la de los panqueques por lo que puedes añadir más leche de ser necesario. Esto puede deberse al tamaño del huevo utilizado, así como la capacidad de absorción de líquido de la harina utilizada.', '4 Vuelca la preparación de budín en el molde donde deseas cocinarlo, el cual debe estar previamente engrasado y enharinado. En este caso, es de 24 x 9 x 6 cm.', '5 Cocina budín con harina integral esponjoso en el horno precalentado a 180 °C por unos 30 minutos o hasta que se quiebre encima y, si lo pinchas, no salen restos de la preparación', '6 Déjalo enfriar antes desmoldarlo y luego disfrútalo con tu infusión preferida. ¡A comer! ¿Qué opinas de esta receta de budín con harina integral? Cuéntanos en los comentarios.']",45m,"['Recomendada para vegetarianos', 'Recetas al horno']"
miguelitos con dulce de leche,"['500 gramos de harina 0000', '1 huevo', '180 centímetros cúbicos de leche', '1 cucharada postre de esencia de vainilla', '25 gramos de levadura fresca', '50 gramos de manteca', '40 gramos de azúcar', 'ralladura de limón', '1 pizca de sal', '25 centímetros cúbicos de leche', '1 cucharada sopera de azúcar', 'dulce de leche repostero', 'azúcar impalpable']","['1 Para empezar con la receta de los miguelitos de dulce de leche,primero haz una esponja mezclando la levadura fresca con 1 cucharada de la harina de esta receta, 1 cucharada de azúcar y unos 50 cc de la leche tibia. Resérvala unos 10 minutos.', '2 Dispón en un recipiente la harina, previamente mezclada con la pizca de sal. A continuación, haz un hueco en el centro para agregar en él huevo, el azúcar, la esponja que habías preparado previamente, una parte de la leche, la esencia de vainilla y la ralladura de limón. Comienza a integrar los ingredientes del centro hacia afuera, agregando la leche poco a poco hasta obtener una masa.', '3 Cuando tengas el bollo listo, llévalo a la mesada limpia y agrega la manteca pomada, es decir, blanda. Puedes retirarla de la heladera al empezar la receta para lograr esta textura. Amasa hasta que se integre completamente. Verás que al principio cuesta un poco, pero luego lo hace perfectamente.', '4 Reserva tu bollo tapado por unos 40 minutos hasta que duplique su volumen.', '5 Cuando tu masa esté lista, divídela en partes de igual tamaño, en este caso de unos 60 gramos. A continuación, realiza forma de bollo con ayuda de tu mano, como ves en la imagen, rodándolo sobre sí.', '6 Llévalos a una asadera previamente engrasada, separados por 1 dedo de distancia, ya que leudarán.', '7 Reserva tus miguelitos en la asadera tapada por unos 20 minutos mientras se calienta tu horno a 180 ºC. Pasado ese tiempo, píntalos con la leche mezclada con azúcar y cocínalos unos 20 minutos hasta que estén ligeramente dorados.', '8 Una vez fríos, haz un corte en cada bollo sin llegar al otro lado y a 45 º hacia abajo. Rellénalos con el dulce de leche. Recomendamos lo dispongas en una manga para que sea más fácil rellenarlos.', '9 Cuando tengas todos tus miguelitos de dulce de leche listos, espolvoréalos con el azúcar impalpable para decorarlos.', '10 Ya puedes servir el agua del mate porque están listas las facturas de dulce de leche. ¡A comer! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios.']",1h 30m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
pan cremona,"['500 gramos de harina 000', '15 gramos de levadura fresca', '1 cucharadita de sal', '10 gramos de manteca', '250 centímetros cúbicos de agua tibia', '3 cucharadas soperas de harina 000', '75 gramos de manteca']","['1 El primer paso de esta receta de pan cremona consiste en mezclar la manteca con las cucharadas de harina para formar el empaste. Este será el encargado de formar las deliciosas capas que caracterizan los bordes de la cremona.', '2 Lleva la mezcla de manteca y harina a un papel separador y tápalo con otro. Con ayuda de un palote, estíralo hasta formar un rectángulo de medio centímetro de alto. Llévalo al congelador sobre una asadera para que se mantenga recto mientras continúas con el resto de la preparación.', '3 Por otro lado, dispón la harina en un recipiente y, en el centro, haz un hueco para agregar en él el agua tibia, la levadura desgranada, la sal y la manteca derretida. Truco: puedes reemplazar la manteca por grasa, para darle más sabor a tu pan cremona.', '4 Une los ingredientes del centro hacia afuera para integrar y formar la masa de tu pan cremona. No te preocupes si es algo dura y rugosa.', '5 Estira la masa de forma rectangular un poco más grande que el tamaño del empaste para poder colocarlo en el centro y que sobren unos márgenes a los costados.', '6 Retira el papel separador y encierra el empaste doblando los bordes de la masa hacia el centro. Estírala con el pliegue hacia tu cuerpo y dóblala dos veces al medio. Dobla nuevamente la cremona de hojaldre por la mitad, como si cerraras un libro y llévala al frío tapada por unos 5 minutos.', '7 Retírala del frío, estírala nuevamente con el pliegue hacia tu cuerpo y dóblala de la misma forma, es decir, dos veces al medio y nuevamente al medio como un libro. Repite 1 vez más.', '8 Una vez que hayas repetido y enfriado nuevamente, estira tu masa con el pliegue hacia ti. Esta vez, dóblala al medio de forma vertical, como ves en la imagen. Retira las puntas y aproximadamente 1 dedo de masa del lado abierto, para despejar las capas. Haz un corte firme, sin arrastrar, para no romper las capas que formaste durante el hojaldrado', '9 Corta tiras de 3 dedos de ancho, sin llegar al borde y con un corte firme, como hemos explicado en el paso anterior. Corta la primera y última tira de la mitad del tamaño.', '10 Lleva tu pan cremona a una asadera previamente engrasada y abre las capas de las puntas para superponer las que están debajo.', '11 Acomoda nuevamente las puntas para emprolijar tu pan cremona y tápala para dejarla leudar por 1 hora. Cocínala en el horno precalentado a 180 ºC por unos 25 minutos o hasta que esté dorada.', '12 Sirve el mate y disfruta de este delicioso pan cremona argentino. ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios.']",2h 30m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
figacitas de manteca,"['500 gramos de harina 000', '250 centímetros cúbicos de leche', '50 gramos de manteca', '2 cucharaditas de sal', '1 cucharada postre de miel', '25 gramos de levadura fresca']","['1 Para empezar con la receta de las figacitas de manteca, disuelve la levadura en una parte de la leche tibia, junto con la cucharada de miel, 2 cucharadas del total de la harina.', '2 Cuando se haya formado una esponja, aproximadamente en 5 minutos, llévala al centro de la harina, previamente mezclada con la sal para que no inactive la levadura. También añade en el centro la manteca derretida y el resto de la leche.', '3 Integra del centro hacia afuera para unir todos los ingredientes y amasa la masa de tus figacitas de manteca hasta logar un bollo liso.', '4 Repósalo en un recipiente tapado por unos 30 a 60 minutos, hasta que duplique su volumen. Vuélcalo en la mesada limpia, previamente enharinada para estirar la masa de aproximadamente 1 centímetro.', '5 Dobla la masa al medio y vuelve a estirar hasta alcanzar unos 2 centímetros de alto o un dedo.', '6 Con ayuda de un cortante redondo, corta las figacitas de manteca. Une los restos sin amasar y estírala nuevamente para utilizarla toda.', '7 Deja reposar los pancitos de manteca tapados en una asadera previamente engrasada y enharinada por unos 20 minutos, mientras precalientas el horno a 200ºC.', '8 Pasado ese tiempo, píntalas con una mezcla de media taza de agua, con 1 cucharada de almidón de maíz. cocínalas en el horno precalentado a 200ºC por unos 15 o 20 minutos, hasta que estén ligeramente doradas y, si las tocas, estén firmes.', '9 Reserva hasta que el pan figacitas de manteca se entibie para abrir y rellenar con tus ingredientes preferidos. ¿Qué opinas de esta receta?']",1h 30m,"['Recomendada para vegetarianos', 'Recetas al horno']"
pizza rellena de cebolla,"['700 gramos de harina 000', '35 gramos de levadura fresca', '1 cucharada sopera de aceite', '420 centímetros cúbicos de agua tibia', '1 cebolla grande', '1 cucharada postre de sal', '2 cucharadas de postre de orégano', '200 gramos de queso fresco cremoso o mozzarella']","['1 El primer paso de esta receta consiste en pelar y picar la cebolla en pluma. Sumérgela en abundante agua hirviendo y déjala reposar unos minutos. Luego, enjuágala con abundante agua fría.', '2 A continuación, mezcla la cebolla con la sal y el orégano. Resérvala tapada mientras continúas con la preparación de la masa.', '3 Para la masa de la fugazzeta rellena, dispón la harina sobre la mesada limpia y haz un hueco en el centro para volcar en él el agua tibia, la levadura desgranada y el aceite.', '4 Comienza a integrar los ingredientes del centro hacia afuera hasta obtener un bollo. Amasa hasta que tu masa quede bien lisa.', '5 Resérvala tapada en un lugar cálido sin corriente de aire por aproximadamente 1 hora o hasta que duplique su volumen.', '6 Pasado ese tiempo, divide la masa en dos partes, una un poco más abundante que la otra. Toma la más abundante para cubrir con ella la base de la pizzera, la cual debe estar previamente engrasada.', '7 Alcanza al menos la mitad del alto de los bordes con la masa y luego cubre la base con el queso en cubos. También podrías congelarlo y rallarlo.', '8 Cubre la masa de la base con la mitad restante, previamente estirada. Encierra sus bordes con los de la masa de la base para sellar bien el queso y que no se escape durante la cocción.', '9 Cubre la pizza rellena argentina con la cebolla que habías dejado previamente reposando con la sal y el orégano. Descarta el agua que haya liberado o bien utilízala para otra receta, por ejemplo, para un salteado. Tápala y déjala leudar unos minutos mientras tu horno se calienta a temperatura máxima, es decir, 200 a 220ºC', '10 Cocina tu fugazzeta rellena por unos 25 minutos en el horno precalentado a 200-220ºC en la segunda rejilla para que no se dore la base antes de que esté cocida la segunda masa. Aguarda unos minutos a que se entibie un poco antes de retirarla del molde y servirla.', '11 Sirve tu pizza con tu bebida preferida. ¡A comer la mejor fugazzeta rellena! ¿Qué opinas de esta receta de fugazzeta rellena? Cuéntanos en los comentarios.']",1h 30m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
tortas fritas al horno,"['2 tazas de harina 000', '2 cucharadas soperas de manteca pomada', '1 cucharadita de polvo para hornear', '1 cucharada sopera de sal', '1 taza de agua tibia']","['1 Coloca en un recipiente la harina junto con la sal y el polvo para hornear.', '2 Agrega la manteca pomada y parte del agua. Comienza a mezclar con la mano y continúa incorporando agua a medida que la masa lo necesite. Truco: puedes reemplazar la manteca por grasa bovina o por aceite.', '3 Amasa hasta formar un bollo tierno que no se pegue en las manos. Cubre la masa con un repasador, un separador o un film y deja reposar por unos 20 minutos.', '4 Enciende el horno para precalentar a 200 °C. Unta con aceite una placa o asadera y llévala al horno para calentarla. Luego separa la masa en bollos más pequeños y aplástalos un poco con la palma de la mano para que queden de aproximadamente ½ cm de espesor.', '5 Realiza un corte en el centro de cada torta frita sin grasa, colócalas en la asadera caliente y lleva a horno precalentado a 200°C. Cocina aproximadamente 5 minutos por cada lado o hasta que estén doraditas.', '6 Retira del horno y disfruta de estas saludables tortas fritas al horno ¡A comer! Cuéntanos qué te pareció esta receta en comentarios y comparte una fotografía del resultado final.']",45m,"['Recomendada para vegetarianos', 'Receta sin azúcar', 'Recetas al horno', 'Recetas argentinas']"
budin de avena sin harina ni azucar,"['250 gramos de avena en hojuelas', '1 banana', '1 taza de agua caliente', '1 cucharada sopera de levadura seca', '2 cucharadas soperas de aceite neutro (girasol o soja)', '1 huevo', '3 cucharaditas de edulcorante apto cocción', '1 cucharadita de esencia de vainilla']","['1 Para comenzar a preparar el budín sin harina, pela y pisa la banana. Te recomendamos usar una banana bien madura, ya que le aportará más sabor al budín.', '2 A continuación, procesa la mitad de la avena en hojuelas para convertirla en harina de avena. Truco: si tienes harina de avena, saltea este paso y utilizarás 125 gramos de harina y 125 gramos de hojuelas para hacer la receta.', '3 Unifica en un bol la harina que obtuviste, junto con la otra mitad de escamas de avena y agrega la levadura. Mezcla todos los ingredientes', '4 Agrega la banana pisada, el huevo, el aceite, la esencia de vainilla, el edulcorante y la mitad del agua. Truco: la cantidad de edulcorante depende del tipo que utilices y del gusto personal. En este caso usamos 3 cucharaditas de té al ras de sacarina líquida, equivalentes a 50 gramos de azúcar. Consulta las tablas del edulcorante que uses para conocer las equivalencias.', '5 Mezcla bien todos los ingredientes con cuchara o espátula. Si es necesario, agrega más agua de a poco. Debes obtener una preparación con una consistencia similar a la papilla. Deja reposar 15 minutos para que la avena se hidrate y, si es necesario, agregar más agua.', '6 Mientras tanto, enciende el horno para precalentar a 170 °C. También acondiciona un molde de 24 x 9 x 6 cm untándolo con aceite y, luego, coloca una lonja de papel encerado cubriendo la base y aceita nuevamente el papel. Esto facilitará el desmoldado del budín de avena sin harina.', '7 Vierte la preparación en el molde y lleva a horno precalentado a 170 °C durante 35 minutos aproximadamente. Comprueba si está cocido con la técnica del palillo, este debe salir seco cuando pinchas el budín en el centro.', '8 Retira del horno el budín saludable, deja entibiar unos minutos y desmolda sobre una rejilla. Luego retira el papel manteca de la base.', '9 El budín de avena sin harina ni azúcar está listo. Como tiene una miga muy tierna, te recomendamos dejarlo enfriar antes de cortar para que no se desgrane mucho. ¡A comer! Te invitamos a compartir tu opinión o fotografía final en comentarios.']",1h 30m,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin sal', 'Recetas al horno']"
tortas fritas sin levadura,"['250 gramos de harina 000', '25 gramos de grasa bovina', '1 cucharadita de polvo para hornear', '150 centímetros cúbicos de agua tibia', '1 cucharadita de sal', 'aceite para freir', 'azúcar para espolvorear']","['1 En primer lugar, disuelve la sal en el agua tibia. La cantidad de sal que te indicamos, es sugerida, puedes regularla de acuerdo al gusto personal.', '2 A continuación, mezcla la harina con el polvo para hornear y vuelca en la mesada. Forma una corona y vierte en el centro la grasa derretida y el agua salada. Truco: si no tienes grasa bovina, puedes reemplazarla por igual cantidad de manteca.', '3 Integra los ingredientes y amasa formando un bollo. Cubre y deja reposar la preparación por 30 minutos.', '4 Estira la masa con un palote y utilizando un cuchillo filoso, corta las tortas fritas sin levadura de similar tamaño. Luego, realiza el corte tradicional corte en forma de cruz en el centro de cada una. Truco: en este caso las hicimos con forma más o menos rectangular, pero las tortas fritas también puede ser triangulares o circulares. Para hacerlas circulares, divide la masa en porciones, dales forma de bollito y aplana con la palma de la mano.', '5 Coloca el aceite para freír en un recipiente y llévalo al fuego, caliéntalo a 160°C.', '6 Alcanzada la temperatura del aceite, fríe las tortitas hasta que estén doradas por ambos lados.', '7 Cuando las retires, colócalas sobre papel absorbente y mientras estén calientes, espolvoréalas con azúcar.', '8 Seguramente el aroma ya convocó a toda la familia y ya no pueden esperar para probar estas esponjosas tortas fritas sin levadura. ¡A comer! Comparte con nosotros tu opinión o fotografía del resultado final en comentarios.']",45m,['Receta sin lactosa']
